Case ID,Activity,Start Timestamp,Complete Timestamp,Resource
case_1,Traer informacion estudiante - banner,2016-02-16 18:26:08+00:00,2016-02-16 18:26:08+00:00,11204
case_1,Radicar Solicitud Homologacion,2016-02-20 03:00:11+00:00,2016-02-20 03:04:51.370861+00:00,10962
case_1,Validar solicitud,2016-02-20 16:05:58.370861+00:00,2016-02-20 16:24:33.446810+00:00,387
case_1,Homologacion por grupo de cursos,2016-02-20 16:24:33.446810+00:00,2016-02-27 02:00:39.137719+00:00,4560
case_2,Validar solicitud,2016-02-16 19:40:28.629139+00:00,2016-02-16 20:19:03.705088+00:00,387
case_2,Traer informacion estudiante - banner,2016-02-23 00:00:09.705088+00:00,2016-02-23 00:00:09.705088+00:00,17642
case_2,Radicar Solicitud Homologacion,2016-02-24 17:00:29.551242+00:00,2016-02-24 17:05:08.130189+00:00,11204
case_2,Homologacion por grupo de cursos,2016-02-27 17:14:40.380189+00:00,2016-03-01 23:47:01.617477+00:00,2541
case_3,Traer informacion estudiante - banner,2016-02-16 20:55:08.240981+00:00,2016-02-16 20:55:08.240981+00:00,2804
case_3,Radicar Solicitud Homologacion,2016-02-21 17:00:13.240981+00:00,2016-02-21 17:04:50.591299+00:00,4924
case_3,Validar solicitud,2016-02-22 04:03:24.841299+00:00,2016-02-22 04:21:59.917248+00:00,716
case_3,Homologacion por grupo de cursos,2016-02-22 13:06:22.329013+00:00,2016-02-22 21:38:43.566301+00:00,1007
case_4,Traer informacion estudiante - banner,2016-02-16 22:08:08.311045+00:00,2016-02-16 22:08:08.311045+00:00,3729
case_4,Radicar Solicitud Homologacion,2016-02-20 03:00:12.644378+00:00,2016-02-20 03:04:46.506013+00:00,6639
case_4,Validar solicitud,2016-02-21 23:07:22.481013+00:00,2016-02-21 23:25:39.950149+00:00,19019
case_4,Homologacion por grupo de cursos,2016-02-22 13:06:02.361914+00:00,2016-02-22 21:38:23.599202+00:00,1007
case_5,Traer informacion estudiante - banner,2016-02-16 23:20:25.688403+00:00,2016-02-16 23:20:25.688403+00:00,4924
case_5,Radicar Solicitud Homologacion,2016-02-17 02:00:26.688403+00:00,2016-02-17 02:04:59.044653+00:00,3409
case_5,Cancelar Solicitud,2016-02-19 03:23:04.822431+00:00,2016-02-19 19:04:05.404521+00:00,669
case_5,Notificacion estudiante cancelacion soli,2016-02-21 14:06:41.379521+00:00,2016-02-21 14:06:41.379521+00:00,19019
case_6,Traer informacion estudiante - banner,2016-02-17 00:41:40.563403+00:00,2016-02-17 00:41:40.563403+00:00,6004
case_6,Radicar Solicitud Homologacion,2016-02-19 15:00:41.563403+00:00,2016-02-19 15:05:23.787005+00:00,4708
case_6,Validar solicitud,2016-02-19 23:22:29.564783+00:00,2016-02-19 23:40:43.215385+00:00,669
case_6,Homologacion por grupo de cursos,2016-02-22 14:37:27.004859+00:00,2016-02-23 23:17:29.304859+00:00,1707
case_7,Traer informacion estudiante - banner,2016-02-17 10:34:23.118959+00:00,2016-02-17 10:34:23.118959+00:00,8213
case_7,Radicar Solicitud Homologacion,2016-02-23 18:00:26.118959+00:00,2016-02-23 18:05:05.088284+00:00,8797
case_7,Validar solicitud,2016-02-24 17:11:41.063284+00:00,2016-02-24 17:29:54.713886+00:00,19019
case_7,Homologacion por grupo de cursos,2016-02-26 13:04:51.380553+00:00,2016-02-29 14:44:53.680553+00:00,3445
case_8,Traer informacion estudiante - banner,2016-02-17 15:19:37.518959+00:00,2016-02-17 15:19:37.518959+00:00,12836
case_8,Radicar Solicitud Homologacion,2016-02-17 19:00:40.768959+00:00,2016-02-17 19:05:39.961730+00:00,8177
case_8,Validar solicitud,2016-02-17 23:08:37.711730+00:00,2016-02-17 23:26:51.362332+00:00,22475
case_8,Homologacion por grupo de cursos,2016-02-17 23:26:51.362332+00:00,2016-02-23 19:40:53.662332+00:00,7394
case_9,Traer informacion estudiante - banner,2016-02-17 17:00:19.337141+00:00,2016-02-17 17:00:19.337141+00:00,6639
case_9,Radicar Solicitud Homologacion,2016-02-18 23:00:23.337141+00:00,2016-02-18 23:05:21.037740+00:00,2925
case_9,Validar solicitud,2016-02-20 16:05:28.037740+00:00,2016-02-20 16:24:03.728216+00:00,387
case_9,Cancelar Solicitud,2016-02-23 10:22:09.505994+00:00,2016-02-23 11:02:54.755994+00:00,669
case_9,Notificacion estudiante cancelacion soli,2016-02-24 15:03:51.505994+00:00,2016-02-24 15:03:51.505994+00:00,11041
case_10,Traer informacion estudiante - banner,2016-02-17 19:42:13.337141+00:00,2016-02-17 19:42:13.337141+00:00,8450
case_10,Radicar Solicitud Homologacion,2016-02-23 19:00:18.337141+00:00,2016-02-23 19:05:14.265712+00:00,2144
case_10,Cancelar Solicitud,2016-02-24 21:06:50.240712+00:00,2016-02-24 21:47:35.490712+00:00,19019
case_10,Notificacion estudiante cancelacion soli,2016-02-25 02:41:24.399803+00:00,2016-02-25 02:41:24.399803+00:00,22404
case_11,Traer informacion estudiante - banner,2016-02-17 22:17:34.087141+00:00,2016-02-17 22:17:34.087141+00:00,7007
case_11,Radicar Solicitud Homologacion,2016-02-17 22:17:38.753808+00:00,2016-02-17 22:22:32.931323+00:00,5667
case_11,Validar solicitud,2016-02-20 16:05:39.931323+00:00,2016-02-20 16:24:15.621799+00:00,387
case_11,Homologacion por grupo de cursos,2016-02-22 13:05:38.033564+00:00,2016-02-22 21:46:01.330439+00:00,1007
case_12,Traer informacion estudiante - banner,2016-02-17 23:44:00.087141+00:00,2016-02-17 23:44:00.087141+00:00,6639
