Case ID,Activity,Start Timestamp,Complete Timestamp,Resource
case_1,W_Afhandelen leads,2011-10-18 10:15:40.415000+00:00,2011-10-18 10:20:13.173313+00:00,10881.0
case_1,W_Afhandelen leads,2011-10-19 18:55:02.102433+00:00,2011-10-19 18:59:34.860746+00:00,10939.0
case_1,W_Completeren aanvraag,2011-10-19 20:14:18.520534+00:00,2011-10-19 20:21:31.617289+00:00,11181.0
case_2,W_Afhandelen leads,2011-10-18 10:36:08.247853+00:00,2011-10-21 14:04:41.006166+00:00,11000.0
case_2,W_Completeren aanvraag,2011-10-25 10:52:45.946747+00:00,2011-10-25 10:59:59.462408+00:00,11049.0
case_2,W_Completeren aanvraag,2011-10-26 12:21:23.745016+00:00,2011-10-26 12:28:37.260677+00:00,NOT SET
case_2,W_Completeren aanvraag,2011-10-28 20:48:57.394054+00:00,2011-10-28 20:56:10.909715+00:00,10913.0
case_2,W_Completeren aanvraag,2011-10-31 12:04:02.244853+00:00,2011-10-31 12:11:15.760514+00:00,11180.0
case_2,W_Completeren aanvraag,2011-11-01 10:32:40.043122+00:00,2011-11-01 10:39:53.558783+00:00,NOT SET
case_2,W_Completeren aanvraag,2011-11-02 12:01:17.841391+00:00,2011-11-02 12:08:31.357052+00:00,NOT SET
case_2,W_Completeren aanvraag,2011-11-03 10:29:55.639660+00:00,2011-11-03 10:37:09.155321+00:00,NOT SET
case_3,W_Completeren aanvraag,2011-10-18 10:56:31.298800+00:00,2011-10-20 10:07:44.469395+00:00,11201.0
case_3,W_Completeren aanvraag,2011-10-20 20:04:35.804533+00:00,2011-10-20 20:11:48.975128+00:00,11180.0
case_3,W_Completeren aanvraag,2011-10-20 22:51:35.685730+00:00,2011-10-20 22:58:48.856325+00:00,10982.0
case_3,W_Completeren aanvraag,2011-10-21 19:14:32.516113+00:00,2011-10-21 19:21:45.686708+00:00,11181.0
case_3,W_Nabellen offertes,2011-10-24 12:40:32.397310+00:00,2011-10-24 12:43:58.115753+00:00,10982.0
case_3,W_Nabellen offertes,2011-10-24 20:23:44.826355+00:00,2011-10-24 20:27:10.544798+00:00,10982.0
case_3,W_Nabellen offertes,2011-10-26 13:16:14.004201+00:00,2011-10-26 13:19:39.722644+00:00,10629.0
case_3,W_Nabellen offertes,2011-10-31 15:37:55.301278+00:00,2011-10-31 15:41:21.019721+00:00,10899.0
case_3,W_Nabellen offertes,2011-11-01 14:02:45.302329+00:00,2011-11-01 14:06:11.020772+00:00,NOT SET
case_3,W_Valideren aanvraag,2011-11-03 11:16:14.480175+00:00,2011-11-03 11:31:22.158649+00:00,10629.0
case_4,W_Completeren aanvraag,2011-10-18 11:16:52.852482+00:00,2011-10-22 11:08:05.782290+00:00,11203.0
case_4,W_Completeren aanvraag,2011-10-22 12:54:54.711410+00:00,2011-10-22 13:02:07.641218+00:00,10939.0
case_4,W_Completeren aanvraag,2011-10-24 12:03:58.976356+00:00,2011-10-24 12:11:11.906164+00:00,11180.0
case_4,W_Nabellen offertes,2011-10-28 10:52:05.649844+00:00,2011-10-28 10:55:31.368287+00:00,11019.0
case_4,W_Nabellen offertes,2011-10-29 11:16:55.650895+00:00,2011-10-29 11:20:21.369338+00:00,NOT SET
case_4,W_Nabellen offertes,2011-10-31 10:53:43.136364+00:00,2011-10-31 10:57:08.854807+00:00,11189.0
case_4,W_Valideren aanvraag,2011-11-02 11:26:11.400297+00:00,2011-11-02 11:41:19.078771+00:00,10138.0
case_4,W_Nabellen incomplete dossiers,2011-11-03 10:02:43.361379+00:00,2011-11-03 10:07:56.609141+00:00,NOT SET
