Case ID,Activity,Start Timestamp,Complete Timestamp,Resource
case_1,Start,2012-01-11 17:00:00+00:00,2012-01-11 17:00:00+00:00,Start
case_1,Packing,2012-01-12 07:12:17.142857+00:00,2012-01-12 08:12:17.142857+00:00,ID4820
case_1,End,2012-01-12 08:12:17.142857+00:00,2012-01-12 08:12:17.142857+00:00,End
case_1,Turning & Milling,2012-01-12 08:12:17.142857+00:00,2012-01-15 23:15:21.142857+00:00,ID4429
case_1,Turning & Milling,2012-01-16 14:12:21.142857+00:00,2012-01-16 21:27:25.142857+00:00,ID4529
case_1,Turning & Milling,2012-01-17 01:15:02.065934+00:00,2012-01-17 15:30:06.065934+00:00,ID0997
case_1,Turning & Milling Q.C.,2012-01-17 18:30:35.208791+00:00,2012-01-17 19:28:20.208791+00:00,ID4287
case_1,Turning & Milling Q.C.,2012-01-17 22:28:49.351648+00:00,2012-01-18 14:26:34.351648+00:00,ID4287
case_1,Laser Marking,2012-01-18 17:07:26.573870+00:00,2012-01-18 17:53:18.573870+00:00,ID0998
case_1,Final Inspection Q.C.,2012-01-19 13:18:00.002441+00:00,2012-01-19 14:45:26.844546+00:00,ID4618
case_1,Final Inspection Q.C.,2012-01-22 14:54:53.094546+00:00,2012-01-22 18:22:19.936651+00:00,ID4493
case_2,Start,2012-01-12 07:07:14+00:00,2012-01-12 07:07:14+00:00,Start
case_2,End,2012-01-12 07:07:14+00:00,2012-01-12 07:07:14+00:00,End
case_2,Packing,2012-01-12 07:19:31.142857+00:00,2012-01-12 08:19:31.142857+00:00,ID4820
case_2,Turning & Milling Q.C.,2012-01-12 15:44:39.324675+00:00,2012-01-12 16:43:16.507774+00:00,ID4618
case_2,Turning & Milling Q.C.,2012-01-15 14:54:42.757774+00:00,2012-01-15 17:53:19.940873+00:00,ID4493
case_2,Turning & Milling,2012-01-15 17:53:19.940873+00:00,2012-01-15 23:15:59.385317+00:00,ID4429
case_2,Round Grinding,2012-01-16 22:57:39.385317+00:00,2012-01-17 20:06:40.230387+00:00,ID4385
case_2,Final Inspection Q.C.,2012-01-17 21:16:57.877446+00:00,2012-01-17 22:43:57.877446+00:00,ID4163
case_3,Start,2012-01-12 18:15:18.918033+00:00,2012-01-12 18:15:18.918033+00:00,Start
case_3,Laser Marking,2012-01-15 14:46:44.632319+00:00,2012-01-15 21:38:32.000740+00:00,ID4882
case_3,Final Inspection Q.C.,2012-01-16 14:27:32.000740+00:00,2012-01-16 15:52:48.744926+00:00,ID4287
case_3,Packing,2012-01-17 07:19:03.744926+00:00,2012-01-17 08:19:03.744926+00:00,ID4820
case_3,End,2012-01-17 08:19:03.744926+00:00,2012-01-17 08:19:03.744926+00:00,End
case_4,Start,2012-01-13 14:23:43.111581+00:00,2012-01-13 14:23:43.111581+00:00,Start
case_4,Round Grinding,2012-01-15 15:59:08.611581+00:00,2012-01-15 17:08:29.411581+00:00,ID4528
case_4,Final Inspection Q.C.,2012-01-15 21:50:05.411581+00:00,2012-01-15 23:14:04.047945+00:00,ID4618
case_4,Packing,2012-01-17 07:18:19.047945+00:00,2012-01-17 08:18:19.047945+00:00,ID4820
case_4,Turning & Milling Q.C.,2012-01-17 15:49:19.047945+00:00,2012-01-17 17:48:06.074972+00:00,ID4287
case_4,End,2012-01-17 17:48:06.074972+00:00,2012-01-17 17:48:06.074972+00:00,End
case_4,Turning & Milling Q.C.,2012-01-17 23:41:42.074972+00:00,2012-01-18 07:40:29.101999+00:00,ID4618
case_4,Final Inspection Q.C.,2012-01-18 15:49:29.101999+00:00,2012-01-18 17:13:27.738363+00:00,ID4287
case_4,Turning & Milling Q.C.,2012-01-18 19:55:03.738363+00:00,2012-01-18 20:53:50.765390+00:00,ID4618
case_5,Start,2012-01-15 16:31:06.549081+00:00,2012-01-15 16:31:06.549081+00:00,Start
case_5,Packing,2012-01-15 16:31:06.549081+00:00,2012-01-16 08:00:06.549081+00:00,ID4491
case_5,End,2012-01-16 08:00:06.549081+00:00,2012-01-16 08:00:06.549081+00:00,End
case_5,Milling,2012-01-16 14:50:59.882414+00:00,2012-01-16 23:44:29.882414+00:00,ID4326
case_5,Final Inspection Q.C.,2012-01-17 13:43:29.882414+00:00,2012-01-17 15:09:52.861137+00:00,ID4618
case_5,Milling,2012-01-17 23:51:46.194470+00:00,2012-01-18 21:45:16.194470+00:00,ID4326
case_5,Final Inspection Q.C.,2012-01-18 23:39:59.450284+00:00,2012-01-19 14:06:22.429007+00:00,ID4287
case_5,Milling,2012-01-19 14:57:15.762340+00:00,2012-01-19 23:50:45.762340+00:00,ID4326
case_5,Milling,2012-01-20 14:41:39.095673+00:00,2012-01-20 20:35:09.095673+00:00,ID4326
case_5,Final Inspection Q.C.,2012-01-22 15:54:52.351487+00:00,2012-01-22 18:21:15.330210+00:00,ID4287
