Case ID,Activity,Resource,Start Timestamp,Complete Timestamp
173712,W_Afhandelen leads,10912.0,2011-10-01 11:08:36.700000+00:00,2011-10-01 11:10:25.759000+00:00
173706,W_Afhandelen leads,10912.0,2011-10-01 11:15:43.883000+00:00,2011-10-01 11:16:49.843000+00:00
173721,W_Completeren aanvraag,10939.0,2011-10-01 12:09:08.607000+00:00,2011-10-01 12:20:50.335000+00:00
173721,W_Nabellen offertes,10939.0,2011-10-01 12:21:20.844000+00:00,2011-10-01 12:22:52.458000+00:00
173721,W_Nabellen offertes,10939.0,2011-10-01 12:26:32.199000+00:00,2011-10-01 12:32:54.371000+00:00
173694,W_Completeren aanvraag,10912.0,2011-10-01 12:31:25.301000+00:00,2011-10-01 12:35:59.637000+00:00
173688,W_Completeren aanvraag,NOT SET,2011-10-01 12:36:46.437000+00:00,2011-10-01 12:45:13.917000+00:00
173691,W_Completeren aanvraag,NOT SET,2011-10-01 12:37:32.393000+00:00,2011-10-01 12:43:13.178000+00:00
173715,W_Completeren aanvraag,NOT SET,2011-10-01 12:44:00.187000+00:00,2011-10-01 12:46:06.342000+00:00
173706,W_Completeren aanvraag,10912.0,2011-10-01 12:49:28.183000+00:00,2011-10-01 12:50:14.483000+00:00
173706,W_Completeren aanvraag,10912.0,2011-10-01 12:50:21.451000+00:00,2011-10-01 12:53:55.769000+00:00
173724,W_Afhandelen leads,10912.0,2011-10-01 13:04:34.265000+00:00,2011-10-01 13:12:27.600000+00:00
173688,W_Nabellen offertes,NOT SET,2011-10-01 13:15:41.290000+00:00,2011-10-01 13:17:08.924000+00:00
173715,W_Completeren aanvraag,10912.0,2011-10-01 13:18:51.701000+00:00,2011-10-01 13:30:24.155000+00:00
173724,W_Afhandelen leads,10939.0,2011-10-01 13:19:56.702000+00:00,2011-10-01 13:20:55.527000+00:00
173712,W_Completeren aanvraag,11019.0,2011-10-01 13:59:13.844000+00:00,2011-10-01 14:03:35.216000+00:00
173724,W_Completeren aanvraag,10912.0,2011-10-01 14:24:12.098000+00:00,2011-10-01 14:27:08.763000+00:00
173724,W_Completeren aanvraag,NOT SET,2011-10-01 15:01:52.452000+00:00,2011-10-01 15:02:01.804000+00:00
173691,W_Completeren aanvraag,NOT SET,2011-10-01 15:27:57.775000+00:00,2011-10-01 15:35:48.791000+00:00
173691,W_Nabellen offertes,NOT SET,2011-10-01 15:36:13.443000+00:00,2011-10-01 15:36:25.794000+00:00
173706,W_Completeren aanvraag,NOT SET,2011-10-01 15:50:26.172000+00:00,2011-10-01 16:00:02.537000+00:00
173724,W_Completeren aanvraag,11000.0,2011-10-01 16:12:31.862000+00:00,2011-10-01 16:15:17.707000+00:00
173745,W_Afhandelen leads,10939.0,2011-10-01 16:19:46.902000+00:00,2011-10-01 16:21:27.382000+00:00
173748,W_Afhandelen leads,10939.0,2011-10-01 16:21:30.425000+00:00,2011-10-01 16:24:17.903000+00:00
173736,W_Completeren aanvraag,11019.0,2011-10-01 16:25:56.976000+00:00,2011-10-01 16:40:09.622000+00:00
173739,W_Completeren aanvraag,11000.0,2011-10-01 16:26:10.309000+00:00,2011-10-01 16:27:27.909000+00:00
173751,W_Completeren aanvraag,11000.0,2011-10-01 16:27:54.581000+00:00,2011-10-01 16:34:03.433000+00:00
173739,W_Completeren aanvraag,NOT SET,2011-10-01 16:39:44.061000+00:00,2011-10-01 16:42:01.062000+00:00
173739,W_Completeren aanvraag,11000.0,2011-10-01 16:44:57.589000+00:00,2011-10-01 16:56:43.006000+00:00
